Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
292,6,O_Image_48.bmp,O_Lure_48.bmp,NA,3,1,1,1.1269,1,NA
293,6,O_Image_37.bmp,O_Lure_37.bmp,NA,3,2,2,0.67252,1,NA
294,6,F_Image_1.bmp,F_Lure_1.bmp,NA,3,1,1,1.1001,1,NA
295,6,F_Image_18.bmp,F_Lure_18.bmp,NA,3,2,2,0.82193,1,NA
296,6,O_Image_25.bmp,O_Lure_25.bmp,NA,3,2,2,0.70753,1,NA
297,6,O_Image_43.bmp,O_Lure_43.bmp,NA,3,2,2,1.5098,1,NA
298,6,F_Image_23.bmp,F_Lure_23.bmp,NA,3,1,1,0.88719,1,NA
299,6,F_Image_15.bmp,F_Lure_15.bmp,NA,3,2,2,0.78603,1,NA
300,6,F_Image_12.bmp,F_Lure_12.bmp,NA,3,1,1,1.361,1,NA
301,6,S_Image_65.bmp,S_Lure_65.bmp,NA,3,1,1,1.1286,1,NA
302,6,O_Image_26.bmp,O_Lure_26.bmp,NA,3,1,2,0.60192,0,NA
303,6,S_Image_59.bmp,S_Lure_59.bmp,NA,3,2,1,2.0081,0,NA
304,6,S_Image_71.bmp,S_Lure_71.bmp,NA,3,1,1,3.0545,1,NA
305,6,S_Image_52.bmp,S_Lure_52.bmp,NA,3,1,1,1.162,1,NA
306,6,F_Image_24.bmp,F_Lure_24.bmp,NA,3,1,1,0.81039,1,NA
